Library_name,Addgene#
Bassik_Human_CRISPR_Knockout_Library,101926-101934
Bassik_Mouse_CRISPR_Knockout_Library,1000000121 — 1000000130
Bradley_Human_CRISPR_Poison_Exon_Knockout_Library,138084
Brie_mouse_genome-wide_library,73632 (1 plasmid) 73633 (2 plasmid)
Brie_mouse_kinome_library,75317 (1 plasmid) 75316 (2 plasmid)
Brunello_human_kinome_library,75314 (Guides 1-4); 75315 (Guides 5-8) (1 plasmid)  75312 (Guides 1-4); 75313 (Guides 5-8) (2 plasmid)  1000000083 Guides 1-4 & 5-8 (1 plasmid)  1000000082 Guides 1-4 & 5-8 (2 plasmid)
Brunello_human_library,73179 (1 plasmid) 73178 (2 plasmid)
Chen_Mouse_Tumor_Suppressor_Gene_CRISPR_Knockout_Library,113584 EFS backbone 113585 TBG backbone
Draetta_Mini-human_library,130630
Gattinara_human_library,136986
GeCKOv2_human,1000000048 (1 plasmid) 1000000049 (2 plasmid)
GeCKOv2_mouse,1000000052 (1 plasmid) 1000000053 (2 plasmid)
Gouda_mouse_library,136987
Lin_Human_miRNA_library,112200
Liu_Human_library,1000000132
Oxford_Drosophila_library,64750
Perrimon_Drosophila_cell_library,134582 134583 134584
Sabatini_human_metabolism_library,110066
Sabatini_mouse_library,1000000096
Sabatini_Park_genome_wide_library,1000000095
Sabatini_RAS_library,92352
Sabatini_Wang2014_genome_wide_library,51043 - 51048
Sabatini_Wang2015_genome_wide_library,1000000100
Teichmann_mouse_library,104861
Toronto_human_V1_library,1000000069
Toronto_human_V3_library,90294 (1 plasmid) 125517 (2 plasmid)
Toxoplasma_library,80636
Vakoc_dna_binding_library,123334
Vakoc_kinase_library,117725
Wei_lncrna_library,89640
Wu_human_library,69763
Yusa_human_library,67989
Yusa_mousev2_library,67988
